Country,Capital,Latitude,Longitude
アンドラ,アンドララベラ,42.5063174,1.5218355
アラブ首長国連邦,アブダビ,24.453884,54.3773438
アフガニスタン,カブール,34.5553494,69.207486
アンティグア・バーブーダ,セントジョンズ,17.1274104,-61.846772
アルバニア,ティラナ,41.3275459,19.8186982
アルメニア,エレバン,40.1791857,44.4991029
アンゴラ,ルアンダ,-8.8399876,13.2894368
アルゼンチン,ブエノスアイレス,-34.6036844,-58.3815591
オーストリア,ウィーン,48.2081743,16.3738189
オーストラリア,キャンベラ,-35.308129,149.124402
アゼルバイジャン,バクー,40.4092617,49.8670924
ボスニア・ヘルツェゴビナ,サラエボ,43.8562586,18.4130763
バルバドス,ブリッジタウン,13.0968511,-59.6144819
バングラデシュ,ダッカ,23.810332,90.4125181
ベルギー,ブリュッセル,50.8503463,4.3517211
ブルキナファソ,ワガドゥグー,12.3714277,-1.5196603
ブルガリア,ソフィア,42.6977082,23.3218675
バーレーン,マナーマ,26.2285161,50.5860497
ブルンジ,ブシュンブラ,-3.361378,29.3598782
ベナン,ポルトノボ,6.4968574,2.6288523
ブルネイ,バンダルスリブガワン,4.9030522,114.939821
ボリビア,ラパス,-16.489689,-68.1192936
ブラジル,ブラジリア,-15.794392,-47.882004
バハマ,ナッソー,25.0479835,-77.355413
ブータン,ティンプー,27.4727924,89.6392863
ボツワナ,ハボローネ,-24.6282079,25.9231471
ベラルーシ,ミンスク,53.9045398,27.5615244
ベリーズ,ベルモパン,17.2510114,-88.7590201
カナダ,オタワ,45.4215296,-75.6971931
コンゴ民主共和国,キンシャサ,-4.4419311,15.2662931
中央アフリカ,バンギ,4.3946735,18.5581899
コンゴ共和国,ブラザビル,-4.2633597,15.2428853
スイス,ベルン,46.9479739,7.4474468
コートジボワール,ヤムスクロ,6.8276228,-5.2893433
クック諸島,アバルア,-21.2129007,-159.7823059
チリ,サンティアゴ,-33.4488897,-70.6692655
カメルーン,ヤウンデ,3.8480325,11.5020752
中国,北京（ペキン）,39.9041999,116.4073963
コロンビア,ボゴタ,4.7109886,-74.072092
コスタリカ,サンホセ,9.9280694,-84.0907246
キューバ,ハバナ,23.1135925,-82.3665956
カーボベルデ,プライア,14.93305,-23.5133267
キプロス,ニコシア,35.1855659,33.3822764
チェコ,プラハ,50.0755381,14.4378005
ドイツ,ベルリン,52.5200066,13.404954
ジブチ,ジブチ,11.5720765,43.1456475
デンマーク,コペンハーゲン,55.6760968,12.5683372
ドミニカ国,ロゾー,15.3091676,-61.3793554
ドミニカ共和国,サントドミンゴ,18.4860575,-69.9312117
アルジェリア,アルジェ,36.753768,3.0587561
エクアドル,キト,-0.1806532,-78.4678382
エストニア,タリン,59.4369608,24.7535747
エジプト,カイロ,30.0444196,31.2357116
エリトリア,アスマラ,15.3228767,38.9250517
スペイン,マドリード,40.4167754,-3.7037902
エチオピア,アディスアベバ,8.9806034,38.7577605
フィンランド,ヘルシンキ,60.1698557,24.9383791
フィジー,スバ,-18.1248086,178.4500789
ミクロネシア,パリキール,6.9147118,158.1610274
フランス,パリ,48.856614,2.3522219
ガボン,リーブルビル,0.4161976,9.4672676
イギリス（英国）,ロンドン,51.5073509,-0.1277583
グレナダ,セントジョージズ,12.0560975,-61.7487996
ジョージア,トビリシ,41.7151377,44.827096
ガーナ,アクラ,5.6037168,-0.1869644
ガンビア,バンジュール,13.4548761,-16.5790323
ギニア,コナクリ,9.6411855,-13.5784012
赤道ギニア,マラボ,3.7504118,8.7371039
ギリシャ,アテネ,37.9838096,23.7275388
グアテマラ,グアテマラシティ,14.6349149,-90.5068824
ギニアビサウ,ビサウ,11.8816553,-15.6177942
ガイアナ,ジョージタウン,6.8012793,-58.1551255
ホンジュラス,テグシガルパ,14.0722751,-87.192136
クロアチア,ザグレブ,45.8150108,15.9819189
ハイチ,ポルトープランス,18.594395,-72.3074326
ハンガリー,ブダペスト,47.497912,19.040235
インドネシア,ジャカルタ,-6.2087634,106.845599
アイルランド,ダブリン,53.3498053,-6.2603097
イスラエル,エルサレム,31.768319,35.21371
インド,デリー,28.6139391,77.2090212
イラク,バグダッド,33.3128057,44.3614875
イラン,テヘラン,35.6891975,51.3889736
アイスランド,レイキャビク,64.1265206,-21.8174392
イタリア,ローマ,41.9027835,12.4963655
ジャマイカ,キングストン,18.0178743,-76.8099041
ヨルダン,アンマン,31.9453666,35.9283716
日本,東京,35.7090259,139.7319925
ケニア,ナイロビ,-1.2920659,36.8219462
キルギス,ビシュケク,42.8746212,74.5697617
カンボジア,プノンペン,11.5563738,104.9282099
キリバス,タラワ,1.4518171,172.9716617
コモロ,モロニ,-11.7172157,43.2473146
セントキッツ,バセテール,17.3026058,-62.7176924
北朝鮮,ピョンヤン,39.0392193,125.7625241
韓国,ソウル,37.552361,126.991432
コソボ,プリシュティナ,42.6629138,21.1655028
クウェート,クウェート,29.375859,47.9774052
カザフスタン,ヌルスルタン,51.1605227,71.4703558
ラオス,ビエンチャン,17.9757058,102.6331035
レバノン,ベイルート,33.8937913,35.5017767
セントルシア,カストリーズ,14.0101094,-60.9874687
リヒテンシュタイン,ファドーツ,47.1410303,9.5209277
スリランカ,スリジャヤワルダナプラコッテ,6.8867616,79.9187142
リベリア,モンロビア,6.2907432,-10.7605239
レソト,マセル,-29.3150767,27.4869229
リトアニア,ビリニュス,54.6871555,25.2796514
ルクセンブルク,ルクセンブルク,49.611621,6.1319346
ラトビア,リガ,56.9496487,24.1051865
リビア,トリポリ,32.8872094,13.1913383
モロッコ,ラバト,33.9715904,-6.8498129
モナコ,モナコ,43.737247,7.420681
モルドバ,キシニョフ,47.0104529,28.8638102
モンテネグロ,ポドゴリツァ,42.4304196,19.2593642
マダガスカル,アンタナナリボ,-18.8791902,47.5079055
マーシャル諸島,マジュロ,7.1164214,171.1857736
北マケドニア,スコピエ,41.9973462,21.4279956
マリ,バマコ,12.6392316,-8.0028892
ミャンマー,ネーピードー,19.7633057,96.0785104
モンゴル,ウランバートル,47.8863988,106.9057439
モーリタニア,ヌアクショット,18.0735299,-15.9582372
マルタ,バレッタ,35.8989085,14.5145528
モーリシャス,ポートルイス,-20.1608912,57.5012222
モルディブ,マレ,4.1754959,73.5093474
マラウイ,リロングウェ,-13.9626121,33.7741195
メキシコ,メキシコシティ,19.4326077,-99.133208
マレーシア,クアラルンプール,3.139003,101.686855
モザンビーク,マプト,-25.969248,32.5731746
ナミビア,ウィントフック,-22.5608807,17.0657549
ニジェール,ニアメ,13.5115963,2.1253854
ナイジェリア,アブジャ,9.0764785,7.398574
ニカラグア,マナグア,12.1149926,-86.2361744
オランダ,アムステルダム,52.3702157,4.8951679
ノルウェー,オスロ,59.9138688,10.7522454
ネパール,カトマンズ,27.7172453,85.3239605
ナウル,ヤレン,-0.5466857,166.9210913
ニウエ,アロフィ,-19.0553711,-169.9178709
ニュージーランド,ウェリントン,-41.2864603,174.776236
オマーン,マスカット,23.58589,58.4059227
パナマ,パナマシティ,8.9823792,-79.5198696
ペルー,リマ,-12.0463731,-77.042754
パプアニューギニア,ポートモレスビー,-9.4438004,147.1802671
フィリピン,マニラ,14.5995124,120.9842195
パキスタン,イスラマバード,33.6844202,73.0478848
ポーランド,ワルシャワ,52.2296756,21.0122287
ポルトガル,リスボン,38.7222524,-9.1393366
パラオ,マルキョク,7.4951158,134.6336896
パラグアイ,アスンシオン,-25.2637399,-57.575926
カタール,ドーハ,25.2854473,51.5310398
ルーマニア,ブカレスト,44.4267674,26.1025384
セルビア,ベオグラード,44.786568,20.4489216
ロシア,モスクワ,55.755826,37.6172999
ルワンダ,キガリ,-1.9705786,30.1044288
サウジアラビア,リヤド,24.7135517,46.6752957
ソロモン諸島,ホニアラ,-9.4456381,159.9728999
セーシェル,ビクトリア,-4.619143,55.4513149
スーダン,ハルツーム,15.5006544,32.5598994
スウェーデン,ストックホルム,59.3293235,18.0685808
シンガポール,シンガポール,1.355429,103.867722
スロベニア,リュブリャナ,46.0569465,14.5057515
スロバキア,ブラチスラバ,48.1485965,17.1077478
シエラレオネ,フリータウン,8.4656765,-13.2317225
サンマリノ,サンマリノ,43.9355907,12.4472806
セネガル,ダカール,14.716677,-17.4676861
ソマリア,モガディシオ,2.0469343,45.3181623
スリナム,パラマリボ,5.8520355,-55.2038278
南スーダン,ジュバ,4.859363,31.57125
サントメ・プリンシペ,サントメ,0.3301924,6.733343
エルサルバドル,サンサルバドル,13.6929403,-89.2181911
シリア,ダマスカス,33.5138073,36.2765279
エスワティニ,ムババーネ,-26.3054482,31.1366715
チャド,ウンジャメナ,12.1348457,15.0557415
トーゴ,ロメ,6.1724969,1.2313618
タイ,バンコク,13.7563309,100.5017651
タジキスタン,ドゥシャンベ,38.5597722,68.7870384
東ティモール,ディリ,-8.5568557,125.5603143
トルクメニスタン,アシガバット,37.9600766,58.3260629
チュニジア,チュニス,36.8064948,10.1815316
トンガ,ヌクアロファ,-21.1393418,-175.204947
トルコ,アンカラ,39.9333635,32.8597419
トリニダード・トバゴ,ポートオブスペイン,10.6549013,-61.5019256
ツバル,フナフティ,-8.5211471,179.1961926
台湾,台北（タイペイ）,25.0329694,121.5654177
タンザニア,ドドマ,-6.162959,35.7516069
ウクライナ,キエフ,50.4501,30.5234
ウガンダ,カンパラ,0.3475964,32.5825197
アメリカ（米国）,ワシントンD.C.,38.9071923,-77.0368707
ウルグアイ,モンテビデオ,-34.9011127,-56.1645314
ウズベキスタン,タシケント,41.2994958,69.2400734
バチカン,バチカン,41.902916,12.453389
セントビンセント・グレナディーン,キングスタウン,13.1600249,-61.2248157
ベネズエラ,カラカス,10.4805937,-66.9036063
ベトナム,ハノイ,21.0277644,105.8341598
バヌアツ,ポートビラ,-17.7332512,168.3273245
サモア,アピア,-13.8506958,-171.7513551
イエメン,サヌア,15.3694451,44.1910066
南アフリカ,プレトリア,-25.7478676,28.2292712
ザンビア,ルサカ,-15.3875259,28.3228165
ジンバブエ,ハラレ,-17.8251657,31.03351
